Implementá una función que reciba un string y retorne la longitud de la última palabra;;;def longitud_ultima_palabra(texto):|    return len(texto.strip().split()[-1])|print(longitud_ultima_palabra("Hola mundo de Python"))
Usando *args, escribí una funcion que devuela el mayor de todos los valores ingresados;;;def max_args(*args):|    return max(args)|print(max_args(5, 10, 3, 42, 7))
Escribí una funcion que reciba un numero de DNI y retorne true si tiene 7 u 8 digitos validos, false si no;;;def verificar_dni(dni):|    return len(str(dni)) in [7, 8]|print(verificar_dni(12345678))  # True|print(verificar_dni(12345))     # False
Crea una función llamada `elevar` que eleve al cuadrado el número que recibe. ; ; ; def elevar(n: int) -> int:\n    return n ** 2
Crea una función llamada `saludo` que reciba un nombre y retorne "Hola, {nombre}". ; ; ; def saludo(nombre: str) -> str:\n    return f"Hola, {nombre}"
Crea una función `promedio` que acepte `*args` de números y retorne el promedio. ; ; ; def promedio(*numeros: float) -> float:\n    return sum(numeros) / len(numeros)
Crea una función `conectar` que tenga parámetros con nombre opcionales `host='localhost'` y `port=3306`. ; ; ; def connectar(host='localhost', port=3306):\n    return f"Conectado a {host}:{port}"
Crea una función `combinar` que acepte `**kwargs` y retorne el diccionario. ; ; ; def combinar(**kwargs) -> dict:\n    return kwargs
Crea una función `maximo` que acepte una lista de enteros y retorne el más grande. ; ; ; def maximo(numeros: list[int]) -> int:\n    return max(numeros)
Crea una función `indice` que dada una lista y un elemento, retorne el índice o -1. ; ; ; def indice(lista: list, elemento) -> int:\n    return lista.index(elemento) if elemento in lista else -1
Crea una función `unir` que reciba varias cadenas y las concatene con espacios. ; ; ; def unir(*cadenas: str) -> str:\n    return " ".join(cadenas)
Crea una función `contar_vocales` que cuente cuántas vocales tiene una palabra. ; ; ; def contar_vocales(texto: str) -> int:\n    return sum(1 for c in texto if c in "aeiouAEIOU")
Crea una función `ordenar` que reciba una lista de números y la retorne ordenada. ; ; ; def ordenar(numeros: list[int]) -> list[int]:\n    return sorted(numeros)
